brgy,asset_score
1,0.3142857142857142
2,0.1926605504587158
3,0.2857142857142857
4,0.2748815165876775
5,0.21626016260162562
6,0.2612244897959182
7,0.2195348837209302
8,0.21612903225806407
9,0.20444444444444398
10,0.2287581699346414
11,0.2335877862595415
12,0.2619289340101527
13,0.20748440748440872
14,0.22387755102040602
15,0.20937499999999962
16,0.18636363636363684
17,0.3
18,0.24089219330855127
19,0.2146118721461191
20,0.22692307692307756
21,0.26666666666666644
22,0.21333333333333296
23,0.3289617486338797
24,0.2461538461538473
25,0.23866666666666628
26,0.24302325581395373
27,0.2351851851851848
28,0.217840375586855
29,0.2
30,0.24831460674157346
31,0.3384615384615385
33,0.21192052980132398
34,0.2230769230769231
35,0.19813084112149631
36,0.235483870967742
37,0.2257668711656442
38,0.2770053475935832
40,0.2
41,0.1692307692307692
42,0.21944444444444555
43,0.19207920792079206
44,0.17333333333333317
46,0.2487427466150887
47,0.22404371584699473
48,0.2363636363636365
49,0.2954545454545455
50,0.22857142857142865
51,0.2230046948356822
52,0.19999999999999987
54,0.31764705882352945
56,0.4
57,0.23492063492063595
58,0.8
61,0.2542750929368044
62,0.2626415094339632
63,0.27942583732057485
64,0.22133333333333458
65,0.2866828087167086
66,0.2473309608540937
67,0.2492857142857154
68,0.2990476190476194
69,0.2749999999999999
72,0.2782608695652185
73,0.22799999999999998
74,0.21721854304635727
75,0.1955056179775286
76,0.21826280623608163
77,0.2813008130081297
78,0.22241379310344786
79,0.2190476190476201
80,0.08571428571428574
81,0.17955555555555577
82,0.2031746031746027
83,0.19999999999999962
84,0.2
86,0.2411392405063306
87,0.27999999999999997
88,0.22626262626262722
89,0.2219780219780216
90,0.21746987951807328
94,0.26390532544378725
95,0.24885496183206077
96,0.23478260869565204
98,0.2679738562091503
99,0.44999999999999996
101,0.28888888888888925
102,0.23999999999999996
103,0.25024630541871984
104,0.21556420233463122
107,0.24715025906735938
108,0.2751918158567793
109,0.2618181818181814
110,0.25438972162741075
111,0.2415584415584422
112,0.2892857142857141
113,0.3768421052631575
114,0.34
115,0.3323529411764703
117,0.2370165745856368
124,0.23712574850299503
125,0.25018867924528454
127,0.25833333333333464
128,0.2942028985507247
129,0.27737226277372234
130,0.20000000000000182
131,0.2863247863247872
132,0.2624489795918388
133,0.26642066420664323
134,0.34137931034482727
135,0.25954198473282447
136,0.2277777777777792
137,0.22970297029703016
138,0.22507288629737754
139,0.23663003663003765
140,0.23986254295532772
141,0.2362416107382548
142,0.23552631578947353
143,0.2155555555555556
144,0.1689567430025451
145,0.3311881188118814
146,0.24467353951890147
147,0.16878048780487775
148,0.3295454545454541
149,0.2460317460317456
150,0.226548672566372
151,0.22894736842105243
152,0.27686274509804
153,0.30881458966565484
154,0.1867704280155644
155,0.24912280701754363
156,0.1844155844155859
157,0.19491916859122535
158,0.2580645161290331
159,0.2333333333333337
160,0.26967741935483885
161,0.20893854748603344
162,0.2231325301204833
163,0.2599999999999996
164,0.2406779661016961
165,0.216525423728812
166,0.2588235294117653
167,0.2500000000000009
168,0.2729166666666663
169,0.247668393782384
170,0.3333333333333333
171,0.24480234260614883
172,0.26512702078521727
173,0.24088050314465528
174,0.2162601626016275
175,0.28758465011286855
176,0.2
177,0.25405405405405257
178,0.22744063324537955
179,0.26409903713892535
180,0.21981981981982127
181,0.22846441947565724
182,0.24127764127764267
183,0.2698306701645777
184,0.2380753138075269
185,0.2392473118279576
186,0.20939060939060636
187,0.2802919708029205
188,0.23675048355899597
189,0.21880998080614356
190,0.21852589641434014
191,0.20374832663989279
192,0.228864218616563
193,0.22331344653510024
194,0.24195804195803752
195,0.2321678321678335
196,0.23061224489796023
197,0.21869369369369154
198,0.24198113207547303
199,0.2254545454545472
200,0.26164383561643967
201,0.27596899224805865
