brgy,water_score
1,1.0
2,0.03669724770642202
3,0.2857142857142857
4,0.44075829383886256
5,0.08943089430894309
6,0.17346938775510204
7,0.2744186046511628
8,0.18548387096774194
9,0.2518518518518518
10,0.12418300653594772
11,0.04580152671755725
12,0.39593908629441626
13,0.06631678582898096
14,0.19591836734693877
15,0.0078125
16,0.03787878787878788
17,0.5
18,0.2527881040892193
19,0.3013698630136986
20,0.3576923076923077
21,0.875968992248062
22,0.8
23,0.5027322404371585
24,0.10139860139860139
25,0.013333333333333334
26,0.06395348837209303
27,0.046296296296296294
28,0.018779342723004695
29,1.0
30,0.5112359550561798
31,0.5384615384615384
33,0.8675496688741722
34,0.9560439560439561
35,0.956386292834891
36,1.0
37,0.9003067484662577
38,0.5187165775401069
40,1.0
41,0.7692307692307693
42,0.2048611111111111
43,0.3613861386138614
44,0.8666666666666667
46,0.6228239845261122
47,0.20218579234972678
48,0.15151515151515152
49,0.022727272727272728
50,0.17857142857142858
51,0.29577464788732394
52,0.896551724137931
54,0.47058823529411764
56,1.0
57,0.19365079365079366
58,0.0
61,0.28066914498141265
62,0.19622641509433963
63,0.2966507177033493
64,0.32266666666666666
65,0.26609775782987855
66,0.3487544483985765
67,0.21428571428571427
68,0.9047619047619048
69,0.5808823529411765
72,0.49753825178003325
73,0.1
74,0.15894039735099338
75,0.056179775280898875
76,0.5389755011135857
77,0.4715447154471545
78,0.19827586206896552
79,0.0992063492063492
80,1.0
81,0.8
82,0.6349206349206349
83,0.5963855421686747
84,0.0
86,0.38924050632911394
87,1.0
88,0.2356902356902357
89,0.06593406593406594
90,0.1355421686746988
94,0.5207100591715976
95,0.5954198473282443
96,0.21739130434782608
98,0.45098039215686275
99,0.0
101,0.09090909090909091
102,0.22666666666666666
103,0.3054187192118227
104,0.7821011673151751
107,0.24870466321243523
108,0.6879795396419437
109,0.5636363636363636
110,0.5674257063769781
111,0.6233766233766234
112,0.5535714285714286
113,0.010526315789473684
114,0.06666666666666667
115,0.3382352941176471
117,0.6933701657458563
124,0.5838323353293413
125,0.6056603773584905
127,0.49038461538461536
128,0.34057971014492755
129,0.3795620437956204
130,0.47145187601957583
131,0.5982905982905983
132,0.5163265306122449
133,0.6494464944649446
134,0.6810344827586207
135,0.41140693849686594
136,0.7777777777777778
137,0.8811881188118812
138,0.8717201166180758
139,0.9194139194139194
140,0.7147766323024055
141,0.6308724832214765
142,0.5131578947368421
143,0.85
144,0.7455470737913485
145,0.9616336633663366
146,0.9896907216494846
147,0.9804878048780488
148,0.8068181818181818
149,0.36507936507936506
150,0.19469026548672566
151,0.19078947368421054
152,0.9372549019607843
153,0.9696048632218845
154,0.9922178988326849
155,0.03508771929824561
156,0.887987012987013
157,0.3972286374133949
158,0.5766129032258065
159,0.5092592592592593
160,0.9354838709677419
161,0.37988826815642457
162,0.14216867469879518
163,0.6214285714285714
164,0.9180790960451978
165,0.3792286757613339
166,0.3067226890756303
167,0.5436507936507936
168,0.96875
169,0.4680483592400691
170,0.6666666666666666
171,0.1683748169838946
172,0.770174993897745
173,0.2641509433962264
174,0.12737127371273713
175,0.22799097065462753
176,1.0
177,0.5212355212355212
178,0.5452946350043976
179,0.9738651994497937
180,0.4954497180106936
181,0.46441947565543074
182,0.25793531891092863
183,0.08681135225375626
184,0.808228730822873
185,0.28763440860215056
186,0.962037962037962
187,0.9708029197080292
188,0.24177949709864605
189,0.22840690978886757
190,0.32171314741035856
191,0.3668005354752343
192,0.23654995730145176
193,0.289123451124369
194,0.3923853923853924
195,0.29895104895104896
196,0.7925170068027211
197,0.24767908152054494
198,0.1580188679245283
199,0.3191919191919192
200,0.05136986301369863
201,0.7790697674418605
